QueryID   Rank    DOCID         Score      System
        1       1      3127   16.15    BM25_Task_3_Stemmed
        1       2      2246   12.02    BM25_Task_3_Stemmed
        1       3      1930   9.183    BM25_Task_3_Stemmed
        1       4      3196   8.388    BM25_Task_3_Stemmed
        1       5      2593   7.605    BM25_Task_3_Stemmed
        1       6      2740   6.079    BM25_Task_3_Stemmed
        1       7      2735   5.967    BM25_Task_3_Stemmed
        1       8      3068   5.861    BM25_Task_3_Stemmed
        1       9      2379   5.829    BM25_Task_3_Stemmed
        1      10      2126   5.794    BM25_Task_3_Stemmed
        1      11      1168   5.794    BM25_Task_3_Stemmed
        1      12      2632   5.787    BM25_Task_3_Stemmed
        1      13      1462   5.622    BM25_Task_3_Stemmed
        1      14      1591   5.617    BM25_Task_3_Stemmed
        1      15      1680   5.586    BM25_Task_3_Stemmed
        1      16      2629   5.549    BM25_Task_3_Stemmed
        1      17      2618   5.520    BM25_Task_3_Stemmed
        1      18      1755   5.520    BM25_Task_3_Stemmed
        1      19      1461   5.520    BM25_Task_3_Stemmed
        1      20      2069   5.520    BM25_Task_3_Stemmed
        1      21      2796   5.520    BM25_Task_3_Stemmed
        1      22      2319   5.507    BM25_Task_3_Stemmed
        1      23      1728   5.377    BM25_Task_3_Stemmed
        1      24      2357   5.377    BM25_Task_3_Stemmed
        1      25      1534   5.276    BM25_Task_3_Stemmed
        1      26      2868   5.276    BM25_Task_3_Stemmed
        1      27      2597   5.276    BM25_Task_3_Stemmed
        1      28      2920   5.276    BM25_Task_3_Stemmed
        1      29      2424   5.153    BM25_Task_3_Stemmed
        1      30      2482   5.126    BM25_Task_3_Stemmed
        1      31      3025   5.109    BM25_Task_3_Stemmed
        1      32      2798   5.109    BM25_Task_3_Stemmed
        1      33      2153   5.053    BM25_Task_3_Stemmed
        1      34      1519   5.053    BM25_Task_3_Stemmed
        1      35      2840   5.053    BM25_Task_3_Stemmed
        1      36      1853   5.053    BM25_Task_3_Stemmed
        1      37      1752   4.980    BM25_Task_3_Stemmed
        1      38      2080   4.980    BM25_Task_3_Stemmed
        1      39      2111   4.980    BM25_Task_3_Stemmed
        1      40      1334   4.947    BM25_Task_3_Stemmed
        1      41      2320   4.882    BM25_Task_3_Stemmed
        1      42      1951   4.879    BM25_Task_3_Stemmed
        1      43       322   4.879    BM25_Task_3_Stemmed
        1      44      1924   4.879    BM25_Task_3_Stemmed
        1      45      1324   4.879    BM25_Task_3_Stemmed
        1      46      2218   4.879    BM25_Task_3_Stemmed
        1      47      1236   4.838    BM25_Task_3_Stemmed
        1      48      2317   4.777    BM25_Task_3_Stemmed
        1      49      2867   4.729    BM25_Task_3_Stemmed
        1      50      1751   4.729    BM25_Task_3_Stemmed
        1      51      1247   4.729    BM25_Task_3_Stemmed
        1      52      2950   4.729    BM25_Task_3_Stemmed
        1      53      2541   4.715    BM25_Task_3_Stemmed
        1      54      1750   4.715    BM25_Task_3_Stemmed
        1      55      1033   4.715    BM25_Task_3_Stemmed
        1      56      2777   4.662    BM25_Task_3_Stemmed
        1      57      2092   4.637    BM25_Task_3_Stemmed
        1      58       585   4.538    BM25_Task_3_Stemmed
        1      59      2378   4.538    BM25_Task_3_Stemmed
        1      60       972   4.538    BM25_Task_3_Stemmed
        1      61      1902   4.485    BM25_Task_3_Stemmed
        1      62      1472   4.485    BM25_Task_3_Stemmed
        1      63      2536   4.485    BM25_Task_3_Stemmed
        1      64      1464   4.485    BM25_Task_3_Stemmed
        1      65      1747   4.424    BM25_Task_3_Stemmed
        1      66      1766   4.418    BM25_Task_3_Stemmed
        1      67      2219   4.405    BM25_Task_3_Stemmed
        1      68      1938   4.394    BM25_Task_3_Stemmed
        1      69      3087   4.381    BM25_Task_3_Stemmed
        1      70      3090   4.350    BM25_Task_3_Stemmed
        1      71      2151   4.350    BM25_Task_3_Stemmed
        1      72      2522   4.350    BM25_Task_3_Stemmed
        1      73      2479   4.350    BM25_Task_3_Stemmed
        1      74      1749   4.350    BM25_Task_3_Stemmed
        1      75      3089   4.295    BM25_Task_3_Stemmed
        1      76      2624   4.295    BM25_Task_3_Stemmed
        1      77      2105   4.295    BM25_Task_3_Stemmed
        1      78      2741   4.295    BM25_Task_3_Stemmed
        1      79      1393   4.295    BM25_Task_3_Stemmed
        1      80      2372   4.268    BM25_Task_3_Stemmed
        1      81      2622   4.268    BM25_Task_3_Stemmed
        1      82      1264   4.268    BM25_Task_3_Stemmed
        1      83      3023   4.222    BM25_Task_3_Stemmed
        1      84      2681   4.222    BM25_Task_3_Stemmed
        1      85      1697   4.222    BM25_Task_3_Stemmed
        1      86      1657   4.222    BM25_Task_3_Stemmed
        1      87      1226   4.222    BM25_Task_3_Stemmed
        1      88      1912   4.222    BM25_Task_3_Stemmed
        1      89      2138   4.222    BM25_Task_3_Stemmed
        1      90      3137   4.222    BM25_Task_3_Stemmed
        1      91      2064   4.221    BM25_Task_3_Stemmed
        1      92      1108   4.190    BM25_Task_3_Stemmed
        1      93      2358   4.190    BM25_Task_3_Stemmed
        1      94      1195   4.120    BM25_Task_3_Stemmed
        1      95      1960   4.120    BM25_Task_3_Stemmed
        1      96       202   4.120    BM25_Task_3_Stemmed
        1      97      3050   4.120    BM25_Task_3_Stemmed
        1      98      1034   4.120    BM25_Task_3_Stemmed
        1      99      1533   4.120    BM25_Task_3_Stemmed
        1     100      1071   4.120    BM25_Task_3_Stemmed
        2       1      2491   16.46    BM25_Task_3_Stemmed
        2       2      2748   15.94    BM25_Task_3_Stemmed
        2       3      2530   15.52    BM25_Task_3_Stemmed
        2       4      1947   12.00    BM25_Task_3_Stemmed
        2       5      2559   11.99    BM25_Task_3_Stemmed
        2       6      2033   11.94    BM25_Task_3_Stemmed
        2       7      2495   11.33    BM25_Task_3_Stemmed
        2       8      1795   11.09    BM25_Task_3_Stemmed
        2       9      2897   10.58    BM25_Task_3_Stemmed
        2      10      2680   10.13    BM25_Task_3_Stemmed
        2      11      2801   9.860    BM25_Task_3_Stemmed
        2      12      2586   9.837    BM25_Task_3_Stemmed
        2      13      3080   9.758    BM25_Task_3_Stemmed
